text,label,source
"1. Az Alza.hu Kft. (cégjegyzékszám: 01-09-286873; adószám: 25745849-2-41; a továbbiakban: „Alza”) a jelen általános szerződési feltételeket (a továbbiakban: „Fogyasztói ÁSZF”) alkalmazza az ÁSZF 2. pontja szerint fogyasztónak minősülő vásárlókkal (a továbbiakban: „Fogyasztó”) kötött valamennyi szerződése, ügylete esetében. Ezen ÁSZF tartalmazza továbbá a www.alza.hu Webáruház felhasználási feltételeit. Az Alza és a Fogyasztó (a továbbiakban együtt: „Felek”) közötti szerződéses ügyletek közé tartoznak elsősorban a Fogyasztónak az Alza által a www.alza.hu internetes weboldalon üzemeltetett Webáruházban (a továbbiakban: „Webáruház”), az Alza applikáción keresztül vagy az Alza fizikai üzlethelyiségeiben történő megrendelései, vásárlásai.",3-Többé/kevésbé megértem,alza_aszf.json
"2. Jelen Fogyasztói ÁSZF csak a fogyasztónak minősülő vásárlókra vonatkozik. Fogyasztónak minősül a szakmája, önálló foglalkozása vagy üzleti tevékenysége körén kívül eljáró természetes személy. A jelen Fogyasztói ÁSZF IX. Hibás teljesítés fejezete tekintetében – kivéve a IX.2.1 Jogszabályon alapuló, kötelező jótállás alcím rendelkezéseit – Fogyasztó alatt a szakmája, önálló foglalkozása vagy üzleti tevékenysége körén kívül eljáró a kis- és középvállalkozásokról, fejlődésük támogatásáról szóló 2004. évi XXXIV. törvény szerinti mikro- kis- és középvállalkozásokat is érteni kell. Egyebekben a fogyasztónak nem minősülő vásárlókra külön általános szerződési feltételek (a továbbiakban: „Vállalkozói ÁSZF”) vonatkoznak, melyek itt érhetőek el.",2-Nehezen érthető,alza_aszf.json
"3. A jelen Fogyasztói ÁSZF tartalmának elfogadása nélkül nem lehetséges az Alzától vásárolni. Jelen Fogyasztói ÁSZF az Alza weboldalán megismerhető és pdf formátumban is letölthető. Az Alza a Fogyasztóval kötendő valamennyi magánjogi ügylet tekintetében kifejezetten kizárja a nem általa meghatározott, más általános szerződési feltételek alkalmazását.",4-Érthető,alza_aszf.json
4. A jelen Fogyasztói ÁSZF-nek a Webáruház használatára vonatkozó rendelkezéseit és feltételeit minden felhasználó a weboldal használatával kifejezetten elfogadja.,4-Érthető,alza_aszf.json
5. A Fogyasztó a Webáruházban és a fizikai üzletben történő megrendelés/vásárlás során is az Alzával kerül szerződéses jogviszonyba.,5-Könnyen érthető,alza_aszf.json
"6. Alzára vonatkozó információk Cégnév: Alza.hu Korlátolt Felelősségű Társaság Székhely: 1134 Budapest, Róbert Károly körút 54-58. Cégjegyzékszám: 01-09-286873 Bejegyzést végző Bíróság: Fővárosi Törvényszék Cégbírósága Adószám: 25745849-2-41 Tárhelyszolgáltató neve: Ce-Colo czech s.r.o. A tárhely szolgáltató székhelye: Nad Elektrárnou 1428/47, 106 00 Prague 10, Czech Republic (Csehország) A tárhely szolgáltató elektronikus levelezési címe: info@cecolo.com Az Ügyfélszolgálat elektronikus levelezési címe: segito@alza.hu Az Ügyfélszolgálat telefonszáma +36 1 701 11 11 A Telefonos ügyfélszolgálat elérhetősége: minden nap 8:00 – 20:00 óra között",3-Többé/kevésbé megértem,alza_aszf.json
"7. Az Alza a Fogyasztók tájékoztatása érdekében könnyen érthető információs oldalakat is készít, lásd például a Szállítási Információk és Fizetési Lehetőségek oldalakat. A jelen ÁSZF-ben megjelölt, vagy hivatkozott tájékoztatási aloldalakon a szerződéskötés időpontjában megjelenített információk a jelen Fogyasztói ÁSZF részét képezik, és ekképpen az Alza és a Fogyasztó között létrejövő szerződés részét képezik.",3-Többé/kevésbé megértem,alza_aszf.json
"8. Az Alza Applikáció használatára (azon történő böngészés, megrendelés, vásárlás, reklamáció, egyéb ügyintézés stb.) is jelen Fogyasztói ÁSZF, különösen a Webáruházzal kapcsolatban megfogalmazott rendelkezések az irányadóak, kivéve, ha az Alza Applikációra ellenkező vagy kiegészítő rendelkezést rögzít a jelen Fogyasztói ÁSZF.",3-Többé/kevésbé megértem,alza_aszf.json
"9. Az Alza a Webáruházban leadott megrendeléseket a nap 24 órájában fogadja, a hét minden napján. A Webáruház működéséhez szükséges információs rendszerek meghibásodása vagy elháríthatatlan külső ok (ún. vis maior helyzet) esetén az Alza semmilyen felelősséget nem vállal azon időszakra nézve, amely alatt a Webáruház nem volt elérhető.",4-Érthető,alza_aszf.json
"10. A Webáruház (a www.alza.hu és Alza Applikáció tartalma, a www.alza.hu domainje és az azon lévő aloldalainak domainjei) szerzői jogvédelem és szellemi tulajdonjogi oltalom alatt áll, azok az Alza tulajdonát képezik. Az Alza Webáruház tartalmának, ideértve az Alza árujelzőit (logók, védjegyek, grafikák, design stb.) bárminemű felhasználása csak az Alza előzetes, írásbeli hozzájárulása alapján engedélyezett.",4-Érthető,alza_aszf.json
